x	y	z	cluster	label
0.000000	0.000000	0.000000	0	My awesome label here!
-0.269323	-0.225883	-0.236667	11	My awesome label here!
0.141621	0.093638	0.145000	28	My awesome label here!
0.126110	0.125911	0.106146	24	My awesome label here!
0.134248	0.150488	0.169002	6	My awesome label here!
-0.208721	-0.166697	-0.336073	14	My awesome label here!
-0.221598	-0.176352	-0.317169	14	My awesome label here!
0.065211	0.067336	0.100690	13	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
0.127328	-0.021235	0.181576	26	My awesome label here!
0.128195	0.159871	0.168318	6	My awesome label here!
-0.210344	-0.168442	-0.333297	14	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.106102	0.120147	0.127367	24	My awesome label here!
0.156331	0.094625	0.120927	28	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.124451	0.140958	0.138654	24	My awesome label here!
0.140340	0.129180	-0.018907	2	My awesome label here!
0.101723	0.119114	0.126852	24	My awesome label here!
0.079563	0.149292	0.109346	16	My awesome label here!
0.110295	0.147059	0.176535	6	My awesome label here!
0.127630	0.180813	0.169896	6	My awesome label here!
-0.274746	-0.234482	-0.225268	11	My awesome label here!
-0.233408	-0.187190	-0.298338	0	My awesome label here!
-0.224101	-0.179024	-0.312900	14	My awesome label here!
0.100259	0.064243	0.006642	25	My awesome label here!
0.147021	0.146453	0.039094	2	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.193503	-0.092820	0.128219	5	My awesome label here!
0.063286	0.079052	0.093456	13	My awesome label here!
-0.253849	-0.207930	-0.264221	0	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.127097	0.182201	0.143003	16	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.062481	0.083984	0.090408	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.225826	-0.180112	-0.310520	14	My awesome label here!
0.129787	-0.020735	0.181742	26	My awesome label here!
0.162238	0.096981	0.042608	15	My awesome label here!
-0.243362	-0.196957	-0.281980	0	My awesome label here!
0.122075	0.140142	0.176958	6	My awesome label here!
-0.229177	-0.183347	-0.305057	14	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.240076	-0.193666	-0.287431	0	My awesome label here!
0.079771	0.034235	0.123442	13	My awesome label here!
0.157980	0.023273	0.149997	26	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.229171	-0.183354	-0.305057	14	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.156374	0.094635	0.120932	28	My awesome label here!
0.072931	0.075611	0.097923	13	My awesome label here!
0.118054	0.202035	0.147859	16	My awesome label here!
0.123645	0.148985	0.137288	16	My awesome label here!
0.126697	0.103304	0.198420	23	My awesome label here!
-0.264757	-0.220852	-0.244601	11	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.135164	0.015302	0.239608	9	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.168260	0.083545	0.051793	15	My awesome label here!
-0.187782	-0.156660	-0.362580	14	My awesome label here!
0.128169	0.154570	0.177264	6	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
-0.240078	-0.193663	-0.287431	0	My awesome label here!
-0.257587	-0.211984	-0.257780	11	My awesome label here!
0.104016	0.119655	0.127123	24	My awesome label here!
-0.240077	-0.193665	-0.287431	0	My awesome label here!
-0.230379	-0.184383	-0.303189	0	My awesome label here!
0.145438	0.012814	0.231869	9	My awesome label here!
-0.231095	-0.185259	-0.301884	0	My awesome label here!
0.152493	0.059071	0.208467	23	My awesome label here!
0.146160	0.086462	0.181733	23	My awesome label here!
-0.208315	-0.166524	-0.336570	14	My awesome label here!
-0.276676	-0.232422	-0.225060	11	My awesome label here!
-0.231062	-0.185297	-0.301886	0	My awesome label here!
-0.256327	-0.210930	-0.259717	11	My awesome label here!
0.141625	0.085413	0.072076	15	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.256204	-0.211063	-0.259728	11	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.065426	0.089835	0.050552	21	My awesome label here!
0.131334	0.142845	0.178832	6	My awesome label here!
-0.230556	-0.184809	-0.302711	0	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.069254	0.042281	0.011726	25	My awesome label here!
0.092713	0.101546	0.165121	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
-0.233927	-0.187822	-0.297393	0	My awesome label here!
-0.226447	-0.181043	-0.309260	14	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.062481	0.083984	0.090408	13	My awesome label here!
0.145861	0.086392	0.181700	23	My awesome label here!
0.128480	0.176679	0.148775	16	My awesome label here!
0.142086	0.131180	0.135557	24	My awesome label here!
-0.248086	-0.201913	-0.273972	0	My awesome label here!
0.118855	0.146083	0.148484	6	My awesome label here!
0.131714	0.172550	0.145620	16	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.100259	0.064243	0.006642	25	My awesome label here!
-0.262855	-0.218378	-0.248189	11	My awesome label here!
-0.251364	-0.205412	-0.268368	0	My awesome label here!
0.076446	0.054342	0.111041	13	My awesome label here!
-0.245173	-0.198800	-0.278953	0	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.240079	-0.193662	-0.287431	0	My awesome label here!
0.129098	0.138243	0.171968	6	My awesome label here!
0.102619	0.049915	0.015464	25	My awesome label here!
-0.229173	-0.183351	-0.305057	14	My awesome label here!
0.134871	0.015399	0.239760	9	My awesome label here!
-0.246096	-0.199811	-0.277356	0	My awesome label here!
0.071120	0.032116	0.122340	13	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.121627	0.131997	0.176475	6	My awesome label here!
-0.235821	-0.189559	-0.294373	0	My awesome label here!
0.128499	0.156512	0.180317	6	My awesome label here!
0.128511	0.159258	0.184754	6	My awesome label here!
-0.260918	-0.216206	-0.251581	11	My awesome label here!
-0.218699	-0.174226	-0.321391	14	My awesome label here!
-0.248089	-0.201909	-0.273972	0	My awesome label here!
0.133343	0.179649	0.171997	6	My awesome label here!
-0.229178	-0.183346	-0.305057	14	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.157989	0.023275	0.149988	26	My awesome label here!
-0.210009	-0.168308	-0.333701	14	My awesome label here!
0.072931	0.075611	0.097923	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
0.066373	0.060300	0.105028	13	My awesome label here!
0.075109	0.062383	0.106090	13	My awesome label here!
-0.232226	-0.186190	-0.300160	0	My awesome label here!
-0.249692	-0.203591	-0.271254	0	My awesome label here!
0.146505	0.086542	0.181772	23	My awesome label here!
0.121111	0.114461	0.162296	24	My awesome label here!
-0.040253	0.026093	0.206649	4	My awesome label here!
-0.259161	-0.214083	-0.254773	11	My awesome label here!
0.105940	0.028524	0.028813	25	My awesome label here!
0.072029	0.081120	0.094518	13	My awesome label here!
0.137073	0.126154	0.193059	6	My awesome label here!
-0.208282	-0.166564	-0.336571	14	My awesome label here!
-0.238576	-0.192197	-0.289894	0	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
0.031694	0.103860	0.094765	17	My awesome label here!
-0.231484	-0.185690	-0.301209	0	My awesome label here!
0.071222	0.086049	0.091471	13	My awesome label here!
0.070495	0.090484	0.088729	13	My awesome label here!
-0.242847	-0.196476	-0.282807	0	My awesome label here!
-0.265713	-0.221393	-0.243325	11	My awesome label here!
0.104112	0.118730	0.081053	24	My awesome label here!
0.108007	0.120597	0.127589	24	My awesome label here!
0.066373	0.060300	0.105028	13	My awesome label here!
0.073949	0.069412	0.101752	13	My awesome label here!
0.136882	0.095880	0.208356	23	My awesome label here!
-0.243362	-0.196956	-0.281980	0	My awesome label here!
-0.253847	-0.207932	-0.264221	0	My awesome label here!
0.069239	0.098146	0.083994	13	My awesome label here!
0.131662	0.134028	0.164430	6	My awesome label here!
-0.254937	-0.209531	-0.262030	11	My awesome label here!
0.077712	0.116507	0.150330	24	My awesome label here!
0.129634	0.125180	0.177408	6	My awesome label here!
-0.230648	-0.184703	-0.302706	0	My awesome label here!
